,Total_Experience,Relevant_experience,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,PG_Specialization,PHD_Specialization,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Certifications,International_degree_any,Expected_CTC
1,23,14,HR,Consultant,Analytics,H,HR,Doctorate,Chemistry,Others,Chemistry,2702664,1,Key_Performer,2,0,0,3783729
2,21,12,Top Management,Consultant,Training,J,Manager,Doctorate,Zoology,Zoology,Zoology,2236661,1,Key_Performer,5,0,0,3131325
3,15,8,Banking,Financial Analyst,Aviation,F,HR,Doctorate,Others,Zoology,Chemistry,2100510,0,C,5,0,0,2608833
4,10,5,Sales,Project Manager,Insurance,E,Medical Officer,Grad,Zoology,Zoology,Did not do PHD,1931644,0,C,2,0,0,2221390
5,16,3,Top Management,Area Sales Manager,Retail,G,Director,Doctorate,Others,Zoology,Others,3511167,1,C,5,0,0,4522383
6,1,1,Engineering,Team Lead,FMCG,L,Marketing Manager,Grad,Chemistry,Chemistry,Did not do PHD,492917,1,B,3,0,0,630933
8,8,7,Analytics/BI,Others,Telecom,L,Marketing Manager,Doctorate,Psychology,Psychology,Psychology,1630225,0,A,6,0,0,2288835
9,15,15,Analytics/BI,CEO,Telecom,M,Product Manager,Doctorate,Chemistry,Chemistry,Chemistry,1761797,1,A,5,0,1,2466515
10,13,10,Education,Business Analyst,Automobile,L,Consultant,Doctorate,Mathematics,Mathematics,Others,2232801,1,Key_Performer,3,0,0,3125921
11,7,1,Marketing,Sales Manager,FMCG,E,CA,PG,Others,Chemistry,Did not do PHD,1351191,0,B,2,1,0,1756548
12,10,10,Others,Bio statistician,Automobile,H,Consultant,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1446451,0,C,3,1,0,1663418
13,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,PG,Engineering,Engineering,Did not do PHD,0,0,Fresher,0,0,0,639655
14,12,9,Banking,Bio statistician,Telecom,J,Research Scientist,Grad,Zoology,Others,Did not do PHD,1990865,0,C,6,0,0,2289494
15,20,15,Healthcare,Analyst,IT,F,Medical Officer,PG,Sociology,Sociology,Did not do PHD,2624073,0,B,5,0,0,3411294
17,21,7,Healthcare,Research Scientist,BFSI,G,Product Manager,Doctorate,Sociology,Others,Botony,3495505,0,B,4,0,0,4718931
18,14,9,Sales,Business Analyst,Telecom,M,Product Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1290371,0,D,5,1,0,1483926
19,8,3,Engineering,Consultant,Telecom,O,Manager,Doctorate,Engineering,Engineering,Engineering,2149333,0,C,3,0,0,2669471
20,17,12,HR,Others,Training,M,Medical Officer,Grad,Arts,Arts,Did not do PHD,2573882,0,D,4,0,0,2959964
22,22,6,Top Management,Consultant,BFSI,D,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2148699,1,A,2,5,0,2793308
23,15,10,Sales,Head,Insurance,N,Research Scientist,Grad,Botony,Others,Did not do PHD,2227905,0,B,2,0,0,2784881
24,3,2,Banking,Associate,Aviation,A,Data Analyst,Doctorate,Statistics,Statistics,Statistics,954597,1,B,3,0,0,1336435
25,21,20,Analytics/BI,Consultant,IT,J,Data Analyst,PG,Economics,Economics,Did not do PHD,3559515,1,Key_Performer,3,2,0,4698559
26,5,4,Engineering,Consultant,Training,N,Assistant Manager,Grad,Chemistry,Chemistry,Did not do PHD,525425,0,B,2,4,0,656781
27,24,7,Analytics/BI,Analyst,Others,G,Product Manager,Grad,Statistics,Others,Did not do PHD,2485496,1,D,4,0,0,2926920
28,19,7,Healthcare,Project Manager,Telecom,D,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2617413,1,Key_Performer,3,1,0,3402636
29,21,0,Healthcare,Head,IT,B,Data Analyst,Doctorate,Botony,Botony,Botony,2230602,0,C,3,0,1,2770407
30,4,4,Education,Bio statistician,Others,O,Medical Officer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,565089,0,B,3,2,0,706361
31,2,0,Banking,Sales Manager,FMCG,I,Manager,Grad,Zoology,Zoology,Did not do PHD,462225,0,A,3,0,0,577781
